,COLONIA,ALCALDIA,lat,lng
1235,EL CARMEN,GUSTAVO A. MADERO,19.5424165354,-99.1323042107
1236,HEROE DE NACOZARI,GUSTAVO A. MADERO,19.4712419788,-99.1436357218
1237,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,19.4784801141,-99.1373064449
1238,JOSE MARIA MORELOS Y PAVON I (U HAB),GUSTAVO A. MADERO,19.4839211292,-99.0945198147
1239,SAN FELIPE DE JESUS IV,GUSTAVO A. MADERO,19.4939626792,-99.0713835197
1240,MARTIN CARRERA I,GUSTAVO A. MADERO,19.4869805433,-99.1081201724
1241,"MESA LOS HORNOS, TEXCALTENCO",TLALPAN,19.2748311669,-99.1844408992
1242,MIRADOR 1A SECC,TLALPAN,19.2692224764,-99.1790122313
1243,LA PRIMAVERA,TLALPAN,19.267178457,-99.2029159289
1244,LOMAS ALTAS DE PADIERNA SUR,TLALPAN,19.2732697355,-99.2263139858
1245,LOMAS DE PADIERNA (AMPL),TLALPAN,19.2969071864,-99.2201227851
1246,SAN PEDRO MARTIR (PBLO),TLALPAN,19.2657243691,-99.1713317632
1247,TLALCOLIGIA,TLALPAN,19.2759761124,-99.1709694646
1248,SAUZALES CEBADALES (U HAB),TLALPAN,19.2979175275,-99.1108032152
1249,LA NORIA TEPEPAN,XOCHIMILCO,19.266093494,-99.1283442665
1250,POTRERO DE SAN BERNARDINO,XOCHIMILCO,19.2696296345,-99.1214824908
1251,SAN ANDRES TOTOLTEPEC (PBLO),TLALPAN,19.2480443192,-99.170959882
1252,SAN MIGUEL  XICALCO (PBLO),TLALPAN,19.2318227124,-99.1633025232
1253,SAN JUAN TEPENAHUAC (PBLO),MILPA ALTA,19.1896748477,-98.993891549
1254,SAN JUAN DE ARAGON 4A  Y 5A SECCION (U HAB) II,GUSTAVO A. MADERO,19.4595321073,-99.071962426
1255,SAN JUAN DE ARAGON 7 SECC (U HAB) I,GUSTAVO A. MADERO,19.4739504315,-99.0757758243
1256,LOMAS DE  PADIERNA II,TLALPAN,19.2949575419,-99.2184620277
1257,XAXALCO,TLALPAN,19.1923280112,-99.1415075666
1258,ISIDRO FABELA II (ORIENTE),TLALPAN,19.3005508985,-99.1704398822
1259,JARDINES DEL SUR,XOCHIMILCO,19.258506031,-99.1158282248
1260,JARDINES EN LA MONTAA,TLALPAN,19.2988275113,-99.2052329099
1261,JARDINES DEL AJUSCO,TLALPAN,19.2870029108,-99.2142864202
1262,"AYOCATITLA,  ASUNCIN",TLALPAN,19.1845427641,-99.1479974757
1263,ARBOLEDAS DEL SUR,TLALPAN,19.2927913135,-99.1389192105
1264,UNIDADES HABITACIONALES DE TENORIOS,TLALPAN,19.2953326268,-99.1167314714
1265,LA ASUNCION,IZTACALCO,19.3897606574,-99.1192974346
1266,EX EJIDOS DE LA MAGDALENA MIXIHUCA,IZTACALCO,19.392971433,-99.0887499435
1267,SAN JUAN TLIHUACA (PBLO),AZCAPOTZALCO,19.48939757,-99.2045938841
1268,SAN BARTOLO CAHUALTONGO (PBLO),AZCAPOTZALCO,19.4820316793,-99.2005770245
1269,PRESIDENTE MADERO (U HAB),AZCAPOTZALCO,19.4958312763,-99.2017260799
1270,LIBERTAD,AZCAPOTZALCO,19.478276634,-99.17731252
1271,OLIVAR DEL CONDE 2DA SECCION I,ALVARO OBREGON,19.3723865694,-99.2159720172
1272,OLIVAR DEL CONDE 1RA SECCION II,ALVARO OBREGON,19.3745995463,-99.2099614766
1273,1RA VICTORIA,ALVARO OBREGON,19.3868252574,-99.2021888808
1274,TABACALERA,CUAUHTEMOC,19.4357759781,-99.1539492806
1275,RESIDENCIAL MARIA ISABEL,ALVARO OBREGON,19.3353718664,-99.2233400163
1276,SAN NICOLAS TETELCO (PBLO),TLAHUAC,19.217583488,-98.9757394396
1277,TEMPILULI,TLAHUAC,19.2788470066,-99.0283138776
1278,DEL MAESTRO,AZCAPOTZALCO,19.4827613752,-99.182303945
